anio,departamento,casos,tasa_desnut,tasa_severa,zscore_medio,peso_act_med
2023,CESAR,41,63.41463414634146,9.75609756097561,-1.9281536585365853,7.251219512195123
2023,GUAJIRA,52,94.23076923076923,17.307692307692307,-2.5708403846153844,7.002884615384615
2023,MAGDALENA,3,66.66666666666666,0.0,-1.1384333333333334,7.066666666666666
2023,SANTANDER,1,0.0,0.0,2.5164,18.5
2024,BOGOTA,1,0.0,0.0,-1.8519,9.5
2024,CESAR,509,79.33723196881091,15.913555992141454,-2.2919526315789476,7.2599220272904486
2024,GUAJIRA,791,91.33165829145729,14.791403286978507,-2.388703266331658,7.397763819095477
2024,MAGDALENA,34,82.35294117647058,44.11764705882353,-3.320294117647059,6.130588235294118
2024,NARIÑO,1,0.0,0.0,-1.9586,12.7
2024,SANTANDER,2,50.0,50.0,-1.3170000000000002,9.3
2024,ZULIA,3,100.0,33.33333333333333,-3.194966666666667,6.3999999999999995
2025,BOGOTA,1,100.0,0.0,-2.4334,4.2
2025,BOYACA,1,100.0,0.0,-2.1772,5.8
2025,CESAR,396,75.0,14.14141414141414,-2.0867590909090907,7.431161616161615
2025,CUNDINAMARCA,2,50.0,0.0,-1.14995,6.8
2025,GUAJIRA,536,94.58955223880598,13.432835820895523,-2.4067455223880594,7.674179104477611
2025,MAGDALENA,56,89.28571428571429,41.07142857142857,-2.7924875,6.544642857142857
2025,SANTANDER,1,100.0,0.0,-2.6018,7.0
2025,ZULIA,8,100.0,0.0,-2.708425,3.325
