anio_mes,casos,tasa_desnut,tasa_severa,tasa_moderada,zscore_pt_media,zscore_pt_std,peso_act_media,imc_media,pct_rural,pct_sin_seguim,pct_vac_incompleta
2023-01,5,100.0,40.0,60.0,-2.89886,0.7920587654966014,6.08,12.912,80.0,60.0,20.0
2023-02,2,50.0,0.0,50.0,0.18080000000000007,3.3030371962786007,12.8,16.384999999999998,0.0,100.0,100.0
2023-03,4,25.0,25.0,0.0,-1.47865,1.7491816305537475,8.2,14.77,50.0,50.0,75.0
2023-04,1,100.0,0.0,100.0,-2.6018,,7.0,13.14,100.0,0.0,0.0
2023-05,14,85.71428571428571,14.285714285714285,71.42857142857143,-2.5019428571428572,0.860218072274776,6.932142857142857,13.797857142857142,71.42857142857143,42.857142857142854,35.714285714285715
2023-06,9,77.77777777777779,0.0,77.77777777777779,-1.8496555555555558,1.3641820004228828,7.800000000000001,14.08,55.55555555555556,55.55555555555556,33.33333333333333
2023-07,8,75.0,25.0,50.0,-2.5737875,0.6536578275640204,6.15,13.0475,100.0,62.5,87.5
2023-08,11,63.63636363636363,18.181818181818183,45.45454545454545,-1.942709090909091,1.4957369363992756,7.418181818181818,13.889999999999999,81.81818181818183,36.36363636363637,36.36363636363637
2023-09,7,57.14285714285714,0.0,57.14285714285714,-1.3489857142857142,1.080994965188046,6.857142857142857,14.718571428571428,85.71428571428571,71.42857142857143,57.14285714285714
2023-10,7,85.71428571428571,0.0,85.71428571428571,-2.2356285714285713,0.40463003148673043,7.114285714285714,13.728571428571428,100.0,42.857142857142854,57.14285714285714
2023-11,6,83.33333333333334,33.33333333333333,50.0,-2.2603333333333335,2.395217877911458,8.15,13.831666666666665,66.66666666666666,16.666666666666664,33.33333333333333
2023-12,21,95.23809523809523,4.761904761904762,90.47619047619048,-2.462357142857143,0.3935470131654267,6.895238095238096,13.138095238095238,95.23809523809523,23.809523809523807,14.285714285714285
2024-01,92,78.26086956521739,13.043478260869565,65.21739130434783,-2.2384152173913043,1.0098336823060186,7.142065217391305,13.754565217391304,77.17391304347827,41.30434782608695,43.47826086956522
2024-02,108,84.40366972477065,11.11111111111111,74.07407407407408,-2.305012844036697,0.9495593984210782,7.1172477064220185,13.780642201834862,77.06422018348624,34.862385321100916,43.11926605504588
2024-03,80,87.95180722891565,17.5,73.75,-2.3299048192771084,1.1905689807924915,7.436987951807229,13.521204819277107,77.10843373493977,38.55421686746988,60.24096385542169
2024-04,99,78.0,10.1010101010101,68.68686868686868,-2.137327,1.1623319251457955,7.3953,13.746500000000001,80.0,47.0,54.0
2024-05,121,87.60330578512396,18.181818181818183,69.42148760330579,-2.3992066115702477,0.9876210885874143,7.21495867768595,13.437851239669422,71.900826446281,41.32231404958678,56.19834710743802
2024-06,127,84.49612403100775,14.173228346456693,71.65354330708661,-2.3255868217054263,0.9453466643727056,7.549612403100775,13.733023255813952,63.565891472868216,50.3875968992248,55.03875968992248
2024-07,166,84.33734939759037,18.072289156626507,66.26506024096386,-2.3568795180722892,1.0676134765046346,7.336506024096385,13.70301204819277,75.90361445783132,56.024096385542165,57.831325301204814
2024-08,139,86.42857142857143,20.863309352517987,66.18705035971223,-2.4257592857142853,1.0243039992418244,7.245928571428571,13.506428571428572,70.0,52.85714285714286,53.57142857142857
2024-09,117,86.4406779661017,18.803418803418804,68.37606837606837,-2.446106779661017,1.106889278794044,7.459322033898306,13.61271186440678,72.03389830508475,38.983050847457626,47.45762711864407
2024-10,116,94.82758620689656,17.24137931034483,77.58620689655173,-2.4810577586206897,0.763380550737067,7.546810344827586,13.455172413793104,69.82758620689656,40.51724137931034,36.206896551724135
2024-11,102,94.11764705882352,12.745098039215685,81.37254901960785,-2.523293137254902,0.7718397049585205,7.236470588235294,13.433627450980392,74.50980392156863,40.19607843137255,50.0
2024-12,80,86.25,17.5,68.75,-2.4874062500000003,1.1254746181217916,6.996250000000001,13.5475,80.0,57.49999999999999,60.0
2025-01,100,90.0,11.0,79.0,-2.3506739999999997,0.6779909165715536,7.1974,13.541099999999998,85.0,42.0,63.0
2025-02,73,80.82191780821918,13.698630136986301,67.12328767123287,-2.240568493150685,1.098322539005722,7.4520547945205475,13.597260273972603,84.93150684931507,46.57534246575342,49.31506849315068
2025-03,77,80.51948051948052,20.77922077922078,59.74025974025974,-2.326744155844156,1.1319558372561587,7.184415584415585,13.488311688311686,64.93506493506493,67.53246753246754,59.74025974025974
2025-04,78,83.33333333333334,17.94871794871795,65.38461538461539,-2.2148,1.048897177558844,7.697435897435897,13.603076923076923,76.92307692307693,64.1025641025641,65.38461538461539
2025-05,75,81.33333333333333,13.333333333333334,68.0,-2.0484893333333334,1.1612493334677438,7.845733333333333,13.994666666666665,77.33333333333333,48.0,54.666666666666664
2025-06,104,89.42307692307693,15.384615384615385,74.03846153846155,-2.365401923076923,0.8193308184691661,7.416538461538462,13.55673076923077,80.76923076923077,50.0,50.96153846153846
2025-07,89,87.64044943820225,17.97752808988764,69.66292134831461,-2.4516696629213484,1.0496100467884268,6.552022471910112,13.13370786516854,71.91011235955057,53.93258426966292,52.80898876404494
2025-08,78,88.46153846153845,20.51282051282051,67.94871794871796,-2.418155128205128,1.0974809826056906,8.055128205128204,13.50897435897436,79.48717948717949,43.58974358974359,44.871794871794876
2025-09,89,88.76404494382022,11.235955056179774,77.52808988764045,-2.2786640449438202,0.9150092934509653,7.307752808988764,13.691011235955056,78.65168539325843,49.43820224719101,50.56179775280899
2025-10,80,92.5,13.750000000000002,78.75,-2.32133125,0.7788747054132615,7.6347499999999995,13.5725,72.5,35.0,31.25
2025-11,105,88.57142857142857,14.285714285714285,74.28571428571429,-2.3127628571428573,1.0670132707033886,7.855619047619048,13.57047619047619,76.19047619047619,40.95238095238095,42.857142857142854
2025-12,48,87.5,12.5,75.0,-2.2498083333333336,0.969708408866784,7.761875,13.50625,77.08333333333334,31.25,25.0
2026-01,1,100.0,0.0,100.0,-2.4255,,7.6,13.3,100.0,0.0,100.0
